1+1,10+20-i,10+20-ni,5+10-i,5+10-ni
28.269387,29.798020,45.421937,29.798020,45.421937
28.269387,29.798020,45.421937,29.798020,45.421937
91.897420,31.351889,55.312811,31.351889,55.312811
28.933285,32.954743,32.730704,32.954743,32.730704
79.514492,33.888161,43.692265,33.888161,43.692265
25.809430,31.605217,34.320317,31.605217,34.320317
98.118314,28.850132,35.233228,28.850132,35.233228
96.693349,29.641940,34.790154,29.641940,34.790154
25.812345,27.395364,52.383393,27.395364,52.383393
31.513395,34.142676,40.936274,34.142676,40.936274
28.147657,27.263219,37.042938,27.263219,37.042938
31.935806,30.153323,28.019254,30.153323,28.019254
27.428571,31.013093,37.834928,31.013093,37.834928
73.137055,29.177033,45.127354,29.177033,45.127354
32.440048,26.909465,36.568630,26.909465,36.568630
39.776199,33.090018,53.956543,33.090018,53.956543
24.180694,27.994956,35.090223,27.994956,35.090223
30.101428,30.890439,36.158139,30.890439,36.158139
27.435990,27.568784,46.856920,27.568784,46.856920
101.212128,40.904429,59.548838,40.904429,59.548838
81.361684,26.707746,56.772580,26.707746,56.772580
113.850807,25.640626,37.803347,25.640626,37.803347
107.278945,31.750195,29.057498,31.750195,29.057498
30.380976,32.173806,29.242042,32.173806,29.242042
98.051251,26.933422,71.327854,26.933422,71.327854
29.655812,27.964308,28.647662,27.964308,28.647662
96.689411,25.348942,41.930289,25.348942,41.930289
30.478461,31.054310,31.189365,31.054310,31.189365
105.063579,35.132753,35.178980,35.132753,35.178980
40.293283,28.917278,39.994577,28.917278,39.994577
